id,data,hora,tipo,questao,pontuacao
4a8f21,2024-10-24 18:45:14,OPEN,,
d3f6c7,2024-10-24 18:49:22,OPEN,,
1e8f29,2024-10-24 18:53:47,SELF,login,10
3f7b45,2024-10-24 18:55:30,SELF,cadastro,10
9c8a12,2024-10-24 18:57:15,SELF,autocomplete,10
5d3f82,2024-10-24 19:00:03,SELF,busca,0
a3c6d2,2024-10-24 19:01:21,SELF,carrinho,0
8e4b12,2024-10-24 19:03:35,SELF,uml_full,10
5a1f3e,2024-10-24 19:05:56,SELF,uml_mini,10
c5f1d9,2024-10-24 19:07:12,SELF,notificacoes,0
1d7e29,2024-10-24 19:09:23,SELF,feed,10
7c9b42,2024-10-24 19:12:34,TEST,chat,100
2f3a67,2024-10-24 19:14:56,TEST,autocomplete,85
0f5d98,2024-10-24 19:17:20,TEST,login,60
d1b4a9,2024-10-24 19:19:33,DOWN,chat,
a2d8f5,2024-10-24 19:22:18,DOWN,perfil,
8f7b3c,2024-10-24 19:25:44,DOWN,notificacoes,
3e1f8a,2024-10-24 19:27:39,OPEN,,
4c5d91,2024-10-24 19:29:05,OPEN,,
a9d2c8,2024-10-24 19:32:50,TEST,cadastro,78
1b6e4a,2024-10-24 19:35:19,TEST,feed,95
5f2c3d,2024-10-24 19:37:11,SELF,cadastro,10
d4e6f1,2024-10-24 19:39:43,SELF,login,10
9b7f2e,2024-10-24 19:42:00,SELF,notificacoes,10
2e9f4b,2024-10-24 19:44:17,SELF,autocomplete,10
8b4a7f,2024-10-24 19:47:56,SELF,perfil,10
d7c5b3,2024-10-24 19:49:12,SELF,chat,0
5a6b3d,2024-10-24 19:52:27,SELF,carrinho,10
7d3f4b,2024-10-24 19:55:10,TEST,feed,90
3b2d9e,2024-10-24 19:57:44,TEST,notificacoes,75
d4c2f5,2024-10-24 20:01:25,SELF,chat,10
8a7b2f,2024-10-24 20:03:57,SELF,autocomplete,10
c3e4d5,2024-10-24 20:06:34,SELF,perfil,0
1d2e8b,2024-10-24 20:08:49,SELF,cadastro,10
9f6c3b,2024-10-24 20:10:35,SELF,uml_full,10
7a4d5f,2024-10-24 20:13:12,SELF,uml_mini,0
c6a1b8,2024-10-24 20:16:04,TEST,login,100
b8c3f2,2024-10-24 20:18:56,QUIT,,
7d3c4b,2024-10-24 20:21:15,OPEN,,
d5e6a9,2024-10-24 20:24:29,TEST,carrinho,66
6c2a3d,2024-10-24 20:26:41,TEST,notificacoes,83
3a9e4f,2024-10-24 20:29:13,SELF,cadastro,10
9e2f1b,2024-10-24 20:31:56,DOWN,feed,
1c6e3a,2024-10-24 20:34:22,DOWN,login,
7b3d5a,2024-10-24 20:36:41,DOWN,perfil,
8c5a2f,2024-10-24 20:39:18,OPEN,,
4e3d7f,2024-10-24 20:41:52,SELF,notificacoes,0
